country,target_iso3,source_year,analysis_scope,n_mentions,n_speeches,n_speakers,mean_concreteness,mean_sentiment
GRC,UKR,2017,reciprocal_asymmetry_candidate,1,1,1,3.191,0.6200000047683716
GRC,UKR,2019,reciprocal_asymmetry_candidate,1,1,1,3.227,0.10599999874830246
GRC,UKR,2020,reciprocal_asymmetry_candidate,1,1,1,3.225,0.25200000405311584
GRC,UKR,2021,reciprocal_asymmetry_candidate,1,1,1,3.213,0.44600000977516174
HRV,UKR,2015,reciprocal_asymmetry_candidate,2,1,1,3.2735000000000003,0.30749998707324266
HRV,UKR,2017,reciprocal_asymmetry_candidate,5,5,3,3.1884,1.2074000261723996
HRV,UKR,2018,reciprocal_asymmetry_candidate,6,6,5,3.175333333333333,3.359333328572878
HRV,UKR,2019,reciprocal_asymmetry_candidate,1,1,1,3.274,4.255000114440918
HRV,UKR,2020,reciprocal_asymmetry_candidate,2,2,2,3.1944999999999997,2.9329999685287476
HRV,UKR,2021,reciprocal_asymmetry_candidate,2,2,2,3.223,3.586000084877014
HRV,UKR,2022,reciprocal_asymmetry_candidate,382,165,60,3.2241125654450267,3.0403429325307347
HUN,UKR,2015,reciprocal_asymmetry_candidate,35,25,19,3.2321714285714287,1.6234856835433416
HUN,UKR,2016,reciprocal_asymmetry_candidate,22,19,16,3.2043636363636363,2.206500015814196
HUN,UKR,2017,reciprocal_asymmetry_candidate,23,9,7,3.2485217391304344,2.621173936387767
HUN,UKR,2018,reciprocal_asymmetry_candidate,17,13,11,3.223470588235294,1.2218235240263098
HUN,UKR,2019,reciprocal_asymmetry_candidate,18,16,13,3.229,1.3805555552244186
HUN,UKR,2020,reciprocal_asymmetry_candidate,15,8,7,3.2428000000000003,1.5426666920383771
HUN,UKR,2021,reciprocal_asymmetry_candidate,1,1,1,3.142,0.48899999260902405
HUN,UKR,2022,reciprocal_asymmetry_candidate,142,74,46,3.2490774647887326,2.9290422450383784
ISL,UKR,2015,reciprocal_asymmetry_candidate,4,2,2,3.3104999999999998,1.6244999468326569
ISL,UKR,2016,reciprocal_asymmetry_candidate,11,5,5,3.1958181818181823,1.3200909332795576
ISL,UKR,2017,reciprocal_asymmetry_candidate,3,1,1,3.1069999999999998,1.1389999985694885
ISL,UKR,2018,reciprocal_asymmetry_candidate,2,2,2,3.1355,1.3885000348091125
ISL,UKR,2019,reciprocal_asymmetry_candidate,2,1,1,3.096,1.6915000081062317
ISL,UKR,2022,reciprocal_asymmetry_candidate,248,136,37,3.240548387096774,1.6693104791244673
ITA,UKR,2014,reciprocal_asymmetry_candidate,2,2,2,3.2115,1.6344999372959137
ITA,UKR,2015,reciprocal_asymmetry_candidate,6,5,5,3.1626666666666665,2.992999995748202
ITA,UKR,2017,reciprocal_asymmetry_candidate,1,1,1,3.188,4.6519999504089355
ITA,UKR,2019,reciprocal_asymmetry_candidate,5,1,1,3.2805999999999997,0.6537999965250492
ITA,UKR,2021,reciprocal_asymmetry_candidate,7,5,5,3.206285714285714,1.139285717691694
ITA,UKR,2022,reciprocal_asymmetry_candidate,75,47,39,3.2332933333333336,1.7193466578051448
LVA,UKR,2015,reciprocal_asymmetry_candidate,7,2,2,3.234142857142857,2.188142865896225
LVA,UKR,2016,reciprocal_asymmetry_candidate,14,11,9,3.2238571428571428,1.6711428492729152
LVA,UKR,2017,reciprocal_asymmetry_candidate,3,2,2,3.1796666666666664,1.7606666088104248
LVA,UKR,2018,reciprocal_asymmetry_candidate,8,7,7,3.261625,1.8388749919831753
LVA,UKR,2019,reciprocal_asymmetry_candidate,5,3,3,3.2700000000000005,0.6771999895572662
LVA,UKR,2020,reciprocal_asymmetry_candidate,1,1,1,3.231,5.25
LVA,UKR,2021,reciprocal_asymmetry_candidate,4,3,3,3.27225,0.9557499941438437
LVA,UKR,2022,reciprocal_asymmetry_candidate,85,51,27,3.2475058823529412,2.259270583339693
NLD,UKR,2015,reciprocal_asymmetry_candidate,23,21,15,3.2260000000000004,1.783043457519101
NLD,UKR,2016,reciprocal_asymmetry_candidate,75,38,23,3.2611066666666666,1.6111066550575197
NLD,UKR,2017,reciprocal_asymmetry_candidate,18,11,10,3.2537777777777777,1.8593333545658324
NLD,UKR,2018,reciprocal_asymmetry_candidate,2,2,2,3.1935000000000002,0.9155000001192093
NLD,UKR,2019,reciprocal_asymmetry_candidate,2,2,2,3.274,1.898999959230423
NLD,UKR,2020,reciprocal_asymmetry_candidate,2,2,2,3.2045000000000003,1.0040000230073929
NLD,UKR,2021,reciprocal_asymmetry_candidate,7,6,6,3.2501428571428574,1.189000011554786
NLD,UKR,2022,reciprocal_asymmetry_candidate,196,121,44,3.2673877551020407,1.7495153004645694
NOR,UKR,2015,reciprocal_asymmetry_candidate,12,10,10,3.2135833333333337,0.9562500057121118
NOR,UKR,2016,reciprocal_asymmetry_candidate,4,4,4,3.189,1.8867499828338623
NOR,UKR,2017,reciprocal_asymmetry_candidate,2,2,2,3.1775,0.2109999991953373
NOR,UKR,2018,reciprocal_asymmetry_candidate,2,2,2,3.2039999999999997,0.20900000259280205
NOR,UKR,2022,reciprocal_asymmetry_candidate,275,112,58,3.250745454545455,2.0851345465738667
POL,UKR,2015,reciprocal_asymmetry_candidate,14,9,9,3.2175000000000002,2.071499990698482
POL,UKR,2016,reciprocal_asymmetry_candidate,86,65,48,3.23543023255814,2.1926744176659647
POL,UKR,2017,reciprocal_asymmetry_candidate,93,51,41,3.261559139784946,2.7962043086287154
POL,UKR,2018,reciprocal_asymmetry_candidate,39,20,17,3.2324358974358973,1.815743585045521
POL,UKR,2019,reciprocal_asymmetry_candidate,11,8,8,3.2598181818181824,1.572454535825686
POL,UKR,2020,reciprocal_asymmetry_candidate,7,6,6,3.2435714285714283,2.3681428783706258
POL,UKR,2021,reciprocal_asymmetry_candidate,41,31,22,3.2873170731707315,1.8543658627242576
POL,UKR,2022,reciprocal_asymmetry_candidate,953,453,201,3.2648877229800632,2.6152119605654436
PRT,UKR,2015,reciprocal_asymmetry_candidate,1,1,1,3.2,0.19300000369548798
PRT,UKR,2016,reciprocal_asymmetry_candidate,6,3,3,3.1835,2.127666632334391
PRT,UKR,2017,reciprocal_asymmetry_candidate,3,1,1,3.2069999999999994,1.2029999494552612
PRT,UKR,2021,reciprocal_asymmetry_candidate,3,2,2,3.177666666666667,1.0509999990463257
PRT,UKR,2022,reciprocal_asymmetry_candidate,103,55,34,3.2040485436893205,2.0451747645325598
